Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C93,cap_100nF_16v_0402,C_0402_1005Metric-no silk,78.241886,-145.481495,0.0,top
C94,cap_100nF_16v_0402,C_0402_1005Metric-no silk,59.191887,-155.006494,0.0,top
C95,cap_100nF_16v_0402,C_0402_1005Metric-no silk,40.141888,-155.00649,0.0,top
C96,cap_100nF_16v_0402,C_0402_1005Metric-no silk,55.641889,-179.456494,0.0,top
C97,cap_100nF_16v_0402,C_0402_1005Metric-no silk,74.69189,-179.456494,0.0,top
C98,cap_100nF_16v_0402,C_0402_1005Metric-no silk,93.74189,-170.456494,0.0,top
C99,cap_100nF_16v_0402,C_0402_1005Metric-no silk,112.79189,-170.456493,0.0,top
C100,cap_100nF_16v_0402,C_0402_1005Metric-no silk,134.941814,-173.501492,0.0,top
C101,cap_100nF_16v_0402,C_0402_1005Metric-no silk,154.936458,-182.541086,0.0,top
C102,cap_100nF_16v_0402,C_0402_1005Metric-no silk,171.849176,-196.494293,0.0,top
C103,cap_100nF_16v_0402,C_0402_1005Metric-no silk,179.160589,-172.860589,135.0,top
C104,cap_100nF_16v_0402,C_0402_1005Metric-no silk,156.484308,-157.56,150.0,top
D1,LM66100DCKR,SOP65P210X110-6N,159.323821,-74.910556,0.0,top
D2,LM66100DCKR,SOP65P210X110-6N,308.75,-80.3,0.0,top
F1,SMD-PPTC-1000MA-8V_1206_,Fuse_1206_3216Metric,156.65,-70.8,0.0,top
F2,SMD-PPTC-1000MA-8V_1206_,Fuse_1206_3216Metric,306.15958,-76.239446,0.0,top
FB1,4A/0805,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,251.5,-69.0,180.0,top
FB2,4A/0805,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,177.35,-70.05,90.0,top
IC1,Texas_DSBGA-9_1.4715x1.4715mm_Layout3x3_P0.5mm,Texas_DSBGA-9_1.4715x1.4715mm_Layout3x3_P0.5mm,159.1,-92.75,-90.0,top
IC2,Texas_DSBGA-9_1.4715x1.4715mm_Layout3x3_P0.5mm,Texas_DSBGA-9_1.4715x1.4715mm_Layout3x3_P0.5mm,275.81,-85.66,0.0,top
J1,HRO-TYPE-C-31-M-12-HandSoldering-NoSBU,HRO-TYPE-C-31-M-12-mod,170.129571,-67.899808,180.0,top
J2,HRO-TYPE-C-31-M-12-HandSoldering-NoSBU,HRO-TYPE-C-31-M-12-mod,260.548407,-67.849801,180.0,top
J3,2.54,PinHeader_1x01_P2.54mm_Circle,165.51,-79.65,0.0,top
J4,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm,187.49189,-153.873993,180.0,top
J5,2.54,PinHeader_1x01_P2.54mm_Circle,313.43,-70.75,0.0,top
J6,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm,241.796891,-153.873993,180.0,top
J7,Conn_01x01_Female,1X01_OVAL,167.27,-102.34,90.0,top
J8,Conn_01x01_Female,1X01_OVAL,280.916889,-93.556492,180.0,top
J9,Conn_01x01_Female,1X01_OVAL,167.425,-99.45,90.0,top
J10,Conn_01x01_Female,1X01_OVAL,278.026892,-93.401492,180.0,top
J11,Conn_01x01_Female,1X01_OVAL,167.425001,-89.289999,90.0,top
J12,Conn_01x01_Female,1X01_OVAL,267.866891,-93.401492,180.0,top
J13,GC9A01,GC9A01-biggers hole,187.49189,-98.936492,0.0,bottom
J14,GC9A01,GC9A01-biggers hole,242.796891,-98.873993,0.0,bottom
J15,GC9A01,GC9A01Round1.28-bare screen,242.796891,-98.873993,90.0,top
J16,GC9A01,GC9A01Round1.28-bare screen,187.49189,-98.936492,90.0,top
LRA1,VL120628H,VL120628H,188.79,-135.26,0.0,bottom
LRA2,VL120628H,VL120628H,241.886889,-135.336492,0.0,bottom
Q1,2N7002,SOT-23,55.77,-89.28,0.0,top
Q2,2N7002,SOT-23,382.8,-89.5,90.0,top
R1,5.1k,R_0402_1005Metric,58.75,-89.28,0.0,top
R3,5.1k,R_0402_1005Metric,381.4,-86.4,135.0,top
R4,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,150.45,-94.85,0.0,top
R5,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,152.75,-94.85,180.0,top
R6,22r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,152.25,-76.05,0.0,top
R7,22r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,152.35,-81.1,0.0,top
R8,4.7k,R_0402_1005Metric,188.4,-157.8,90.0,top
R9,4.7k,R_0402_1005Metric,189.45,-157.8,-90.0,top
R10,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,280.436889,-81.586492,90.0,top
R11,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,280.486889,-78.186492,-90.0,top
R12,22r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,302.625,-77.65,-90.0,top
R13,22r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,301.95,-82.65,-90.0,top
R14,4.7k,R_0402_1005Metric,242.75,-157.8,90.0,top
R15,4.7k,R_0402_1005Metric,243.8,-157.8,-90.0,top
R16,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,161.723825,-74.708052,-90.0,top
R17,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,311.25,-80.100001,-90.0,top
R18,22r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,239.646891,-104.773993,90.0,top
R19,22r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,184.34189,-104.836492,90.0,top
RN1,R_Pack04,R_Array_Concave_4x0603-no silk,47.97,-97.1,-90.0,top
RN2,R_Pack04-10k,R_Array_Concave_4x0603-no silk,375.9,-97.1,-90.0,top
RN3,R_Pack04,R_Array_Concave_4x0603-no silk,51.85,-97.1,-90.0,top
RN4,R_Pack04,R_Array_Concave_4x0603-no silk,379.800001,-97.100003,-90.0,top
RN5,R_Pack04,R_Array_Concave_4x0603-no silk,89.15,-82.34,-90.0,top
RN6,R_Pack04,R_Array_Concave_4x0603-no silk,337.875,-82.75,-90.0,top
RN7,R_Pack04,R_Array_Concave_4x0603-no silk,93.01,-82.35,-90.0,top
RN8,R_Pack04,R_Array_Concave_4x0603-no silk,341.75,-82.75,-90.0,top
RN9,R_Pack04,R_Array_Concave_4x0603-no silk,120.3,-87.6,-90.0,top
RN10,R_Pack04,R_Array_Concave_4x0603-no silk,314.600002,-86.950004,-90.0,top
RN11,R_Pack04,R_Array_Concave_4x0603-no silk,124.1,-87.6,-90.0,top
RN12,R_Pack04,R_Array_Concave_4x0603-no silk,318.45,-86.95,-90.0,top
RN13,R_Pack04,R_Array_Concave_4x0603-no silk,169.45,-161.09,-90.0,top
RN14,R_Pack04,R_Array_Concave_4x0603-no silk,257.275,-161.25,-90.0,top
RN15,R_Pack04,R_Array_Concave_4x0603-no silk,173.35,-161.09,-90.0,top
RN16,R_Pack04,R_Array_Concave_4x0603-no silk,261.175,-161.25,-90.0,top
RN17,R_Pack04,R_Array_Concave_4x0603-no silk,73.03,-171.35,-90.0,top
RN18,R_Pack04,R_Array_Concave_4x0603-no silk,351.975,-172.075,-90.0,top
RN19,R_Pack04,R_Array_Concave_4x0603-no silk,76.92,-171.38,-90.0,top
RN20,R_Pack04,R_Array_Concave_4x0603-no silk,355.825,-172.075,-90.0,top
S1,NAV_SWITCH-_K1-1508SA-03,SW-SMD_K1-1508SA-03,195.986395,-177.83667,-135.0,top
S2,NAV_SWITCH-_K1-1508SA-03,SW-SMD_K1-1508SA-03,234.433331,-177.736395,135.0,top
SW1,SW_PUSH_LED-SK,MX_ChocV1V2_HS,42.891888,-105.636493,180.0,top
SW2,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,42.891889,-124.68649,180.0,top
SW3,SW_PUSH_LED-SK,MX_ChocV1V2_HS,42.891892,-143.736491,180.0,top
SW4,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,42.891888,-162.78649,180.0,top
SW5,SW_SPST,SW_SPST_TL3342,39.525889,-184.376494,90.0,top
SW6,SW_PUSH_LED-SK,MX_ChocV1V2_HS,61.941889,-105.636494,180.0,top
SW7,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,61.941889,-124.686493,180.0,top
SW8,SW_PUSH_LED-SK,MX_ChocV1V2_HS,61.941889,-143.736495,180.0,top
SW9,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,61.941887,-162.786494,180.0,top
SW10,SW_PUSH_LED-SK,MX_ChocV1V2_HS,51.891889,-181.836494,180.0,top
SW11,SW_PUSH_LED-SK,MX_ChocV1V2_HS,80.991889,-96.111494,180.0,top
SW12,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,80.991888,-115.161493,180.0,top
SW13,SW_PUSH_LED-SK,MX_ChocV1V2_HS,80.991888,-134.211495,180.0,top
SW14,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,80.991886,-153.261495,180.0,top
SW15,SW_PUSH_LED-SK,MX_ChocV1V2_HS,70.94189,-181.836494,180.0,top
SW16,SW_PUSH_LED-SK,MX_ChocV1V2_HS,100.041891,-91.34349,180.0,top
SW17,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,100.041888,-110.393494,180.0,top
SW18,SW_PUSH_LED-SK,MX_ChocV1V2_HS,100.041889,-129.443492,180.0,top
SW19,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,100.041888,-148.493491,180.0,top
SW20,SW_PUSH_LED-SK,MX_ChocV1V2_HS,89.99189,-172.836494,180.0,top
SW21,SW_PUSH_LED-SK,MX_ChocV1V2_HS,119.091892,-96.111493,180.0,top
